Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,1.358234,1.363643,1.355803,1.358493,1.358493,0
2022-02-18,1.361544,1.364070,1.357442,1.361878,1.361878,0
2022-02-21,1.359179,1.363829,1.358714,1.359342,1.359342,0
2022-02-22,1.359527,1.360544,1.354005,1.359601,1.359601,0
2022-02-23,1.359083,1.361953,1.354922,1.358936,1.358936,0
2022-02-24,1.354463,1.354738,1.327598,1.354573,1.354573,0
2022-02-25,1.337220,1.343905,1.336898,1.337327,1.337327,0
2022-02-28,1.337006,1.343111,1.334258,1.337327,1.337327,0
2022-03-01,1.342282,1.343725,1.331203,1.342282,1.342282,0
2022-03-02,1.333333,1.337095,1.327404,1.333511,1.333511,0
2022-03-03,1.339728,1.341796,1.332037,1.339692,1.339692,0
2022-03-04,1.335131,1.335131,1.320533,1.335096,1.335096,0
2022-03-07,1.321248,1.322594,1.310393,1.321248,1.321248,0
2022-03-08,1.311407,1.314285,1.308370,1.311230,1.311230,0
2022-03-09,1.310255,1.318235,1.309929,1.309929,1.309929,0
2022-03-10,1.318844,1.319470,1.310736,1.318565,1.318565,0
2022-03-11,1.310307,1.312491,1.305244,1.310324,1.310324,0
2022-03-14,1.304955,1.307873,1.301050,1.305030,1.305030,0
2022-03-15,1.301084,1.308866,1.300136,1.301185,1.301185,0
2022-03-16,1.304500,1.311441,1.303662,1.304649,1.304649,0
2022-03-17,1.314078,1.321109,1.308952,1.314112,1.314112,0
2022-03-18,1.316049,1.318166,1.311200,1.316041,1.316041,0
2022-03-21,1.316067,1.320987,1.312836,1.316084,1.316084,0
2022-03-22,1.316794,1.327246,1.312095,1.316829,1.316829,0
2022-03-23,1.326964,1.329893,1.317627,1.326647,1.326647,0
2022-03-24,1.320655,1.321475,1.315789,1.320603,1.320603,0
2022-03-25,1.319592,1.322559,1.316170,1.319575,1.319575,0
2022-03-28,1.317697,1.317888,1.306865,1.317627,1.317627,0
2022-03-29,1.309998,1.315928,1.305227,1.310358,1.310358,0
2022-03-30,1.309295,1.318061,1.309158,1.309380,1.309380,0
2022-03-31,1.313681,1.317089,1.310960,1.313888,1.313888,0
2022-04-01,1.314579,1.314613,1.308866,1.314700,1.314700,0
2022-04-04,1.310513,1.313629,1.309518,1.310376,1.310376,0
2022-04-05,1.311303,1.316690,1.310049,1.311458,1.311458,0
2022-04-06,1.307634,1.310685,1.304665,1.307737,1.307737,0
2022-04-07,1.307172,1.310668,1.305500,1.307207,1.307207,0
2022-04-08,1.306865,1.307873,1.298482,1.306933,1.306933,0
2022-04-11,1.302948,1.305756,1.298988,1.303220,1.303220,0
2022-04-12,1.302355,1.305364,1.299697,1.302423,1.302423,0
2022-04-13,1.300349,1.307155,1.297438,1.300255,1.300255,0
2022-04-14,1.312215,1.314752,1.303815,1.312026,1.312026,0
2022-04-15,1.306165,1.307668,1.305279,1.307002,1.307002,0
2022-04-18,1.305773,1.305773,1.300796,1.305756,1.305756,0
2022-04-19,1.300762,1.303985,1.298330,1.300982,1.300982,0
2022-04-20,1.301575,1.306677,1.299798,1.301372,1.301372,0
2022-04-21,1.306814,1.308832,1.302423,1.306882,1.306882,0
2022-04-22,1.302406,1.303373,1.284076,1.302626,1.302626,0
2022-04-25,1.282907,1.282972,1.269906,1.283088,1.283088,0
2022-04-26,1.273723,1.277237,1.261304,1.273999,1.273999,0
2022-04-27,1.258447,1.260081,1.250391,1.258400,1.258400,0
2022-04-28,1.253966,1.256676,1.241403,1.254186,1.254186,0
2022-04-29,1.246805,1.258352,1.246727,1.246385,1.246385,0
2022-05-02,1.257379,1.259636,1.250531,1.257387,1.257387,0
2022-05-03,1.250109,1.256644,1.249380,1.249828,1.249828,0
2022-05-04,1.249938,1.253761,1.246743,1.250041,1.250041,0
2022-05-05,1.261893,1.263169,1.232757,1.261814,1.261814,0
2022-05-06,1.236644,1.238022,1.227770,1.236415,1.236415,0
2022-05-09,1.232894,1.240495,1.226212,1.232666,1.232666,0
2022-05-10,1.233487,1.237471,1.229377,1.233882,1.233882,0
2022-05-11,1.230754,1.239803,1.228199,1.230921,1.230921,0
2022-05-12,1.223466,1.224815,1.217137,1.223421,1.223421,0
2022-05-13,1.220435,1.224515,1.215717,1.220614,1.220614,0
2022-05-16,1.226151,1.229725,1.221896,1.225851,1.225851,0
2022-05-17,1.232711,1.249812,1.232210,1.232483,1.232483,0
2022-05-18,1.249048,1.250062,1.237425,1.248439,1.248439,0
2022-05-19,1.234766,1.252270,1.234065,1.234583,1.234583,0
2022-05-20,1.246556,1.249875,1.243967,1.246215,1.246215,0
2022-05-23,1.250688,1.260112,1.250125,1.250406,1.250406,0
