LSTAT,INDUS,NOX,RM,MEDV
4.98,2.31,0.538,6.575,24
9.14,7.07,0.469,6.421,21.6
4.03,7.07,0.469,7.185,34.7
2.94,2.18,0.458,6.998,33.4
5.33,2.18,0.458,7.147,36.2
5.21,2.18,0.458,6.43,28.7
12.43,7.87,0.524,6.012,22.9
19.15,7.87,0.524,6.172,27.1
29.93,7.87,0.524,5.631,16.5
17.1,7.87,0.524,6.004,18.9
20.45,7.87,0.524,6.377,15
13.27,7.87,0.524,6.009,18.9
15.71,7.87,0.524,5.889,21.7
8.26,8.14,0.538,5.949,20.4
10.26,8.14,0.538,6.096,18.2
8.47,8.14,0.538,5.834,19.9
6.58,8.14,0.538,5.935,23.1
14.67,8.14,0.538,5.99,17.5
11.69,8.14,0.538,5.456,20.2
11.28,8.14,0.538,5.727,18.2
21.02,8.14,0.538,5.57,13.6
13.83,8.14,0.538,5.965,19.6
18.72,8.14,0.538,6.142,15.2
19.88,8.14,0.538,5.813,14.5
16.3,8.14,0.538,5.924,15.6
16.51,8.14,0.538,5.599,13.9
14.81,8.14,0.538,5.813,16.6
17.28,8.14,0.538,6.047,14.8
12.8,8.14,0.538,6.495,18.4
11.98,8.14,0.538,6.674,21
22.6,8.14,0.538,5.713,12.7
13.04,8.14,0.538,6.072,14.5
27.71,8.14,0.538,5.95,13.2
18.35,8.14,0.538,5.701,13.1
20.34,8.14,0.538,6.096,13.5
9.68,5.96,0.499,5.933,18.9
11.41,5.96,0.499,5.841,20
8.77,5.96,0.499,5.85,21
10.13,5.96,0.499,5.966,24.7
4.32,2.95,0.428,6.595,30.8
1.98,2.95,0.428,7.024,34.9
4.84,6.91,0.448,6.77,26.6
5.81,6.91,0.448,6.169,25.3
7.44,6.91,0.448,6.211,24.7
9.55,6.91,0.448,6.069,21.2
10.21,6.91,0.448,5.682,19.3
14.15,6.91,0.448,5.786,20
18.8,6.91,0.448,6.03,16.6
30.81,6.91,0.448,5.399,14.4
16.2,6.91,0.448,5.602,19.4
13.45,5.64,0.439,5.963,19.7
9.43,5.64,0.439,6.115,20.5
5.28,5.64,0.439,6.511,25
8.43,5.64,0.439,5.998,23.4
14.8,4,0.41,5.888,18.9
4.81,1.22,0.403,7.249,35.4
5.77,0.74,0.41,6.383,24.7
3.95,1.32,0.411,6.816,31.6
6.86,5.13,0.453,6.145,23.3
9.22,5.13,0.453,5.927,19.6
13.15,5.13,0.453,5.741,18.7
14.44,5.13,0.453,5.966,16
6.73,5.13,0.453,6.456,22.2
9.5,5.13,0.453,6.762,25
8.05,1.38,0.4161,7.104,33
4.67,3.37,0.398,6.29,23.5
10.24,3.37,0.398,5.787,19.4
8.1,6.07,0.409,5.878,22
13.09,6.07,0.409,5.594,17.4
8.79,6.07,0.409,5.885,20.9
6.72,10.81,0.413,6.417,24.2
9.88,10.81,0.413,5.961,21.7
5.52,10.81,0.413,6.065,22.8
7.54,10.81,0.413,6.245,23.4
6.78,12.83,0.437,6.273,24.1
8.94,12.83,0.437,6.286,21.4
11.97,12.83,0.437,6.279,20
10.27,12.83,0.437,6.14,20.8
12.34,12.83,0.437,6.232,21.2
9.1,12.83,0.437,5.874,20.3
5.29,4.86,0.426,6.727,28
7.22,4.86,0.426,6.619,23.9
6.72,4.86,0.426,6.302,24.8
7.51,4.86,0.426,6.167,22.9
9.62,4.49,0.449,6.389,23.9
6.53,4.49,0.449,6.63,26.6
12.86,4.49,0.449,6.015,22.5
8.44,4.49,0.449,6.121,22.2
5.5,3.41,0.489,7.007,23.6
5.7,3.41,0.489,7.079,28.7
8.81,3.41,0.489,6.417,22.6
8.2,3.41,0.489,6.405,22
8.16,15.04,0.464,6.442,22.9
6.21,15.04,0.464,6.211,25
10.59,15.04,0.464,6.249,20.6
6.65,2.89,0.445,6.625,28.4
11.34,2.89,0.445,6.163,21.4
4.21,2.89,0.445,8.069,38.7
3.57,2.89,0.445,7.82,43.8
6.19,2.89,0.445,7.416,33.2
9.42,8.56,0.52,6.727,27.5
7.67,8.56,0.52,6.781,26.5
10.63,8.56,0.52,6.405,18.6
13.44,8.56,0.52,6.137,19.3
12.33,8.56,0.52,6.167,20.1
16.47,8.56,0.52,5.851,19.5
18.66,8.56,0.52,5.836,19.5
14.09,8.56,0.52,6.127,20.4
12.27,8.56,0.52,6.474,19.8
15.55,8.56,0.52,6.229,19.4
13,8.56,0.52,6.195,21.7
10.16,10.01,0.547,6.715,22.8
16.21,10.01,0.547,5.913,18.8
17.09,10.01,0.547,6.092,18.7
10.45,10.01,0.547,6.254,18.5
15.76,10.01,0.547,5.928,18.3
12.04,10.01,0.547,6.176,21.2
10.3,10.01,0.547,6.021,19.2
15.37,10.01,0.547,5.872,20.4
13.61,10.01,0.547,5.731,19.3
14.37,25.65,0.581,5.87,22
14.27,25.65,0.581,6.004,20.3
17.93,25.65,0.581,5.961,20.5
25.41,25.65,0.581,5.856,17.3
17.58,25.65,0.581,5.879,18.8
14.81,25.65,0.581,5.986,21.4
27.26,25.65,0.581,5.613,15.7
17.19,21.89,0.624,5.693,16.2
15.39,21.89,0.624,6.431,18
18.34,21.89,0.624,5.637,14.3
12.6,21.89,0.624,6.458,19.2
12.26,21.89,0.624,6.326,19.6
11.12,21.89,0.624,6.372,23
15.03,21.89,0.624,5.822,18.4
17.31,21.89,0.624,5.757,15.6
16.96,21.89,0.624,6.335,18.1
16.9,21.89,0.624,5.942,17.4
14.59,21.89,0.624,6.454,17.1
21.32,21.89,0.624,5.857,13.3
18.46,21.89,0.624,6.151,17.8
24.16,21.89,0.624,6.174,14
34.41,21.89,0.624,5.019,14.4
26.82,19.58,0.871,5.403,13.4
26.42,19.58,0.871,5.468,15.6
29.29,19.58,0.871,4.903,11.8
27.8,19.58,0.871,6.13,13.8
16.65,19.58,0.871,5.628,15.6
